TIME,DISP,TEMP
5150,-0.292084,17.9042
5155,-0.301149,17.8458
5160,-0.269891,17.8228
5165,-0.350622,17.7981
5170,-0.07901,17.7776
5175,0.039579,17.7606
5180,-0.061321,17.7539
5185,-0.166081,17.7826
5190,-0.04862,17.784
5195,-0.155732,17.7697
5200,-0.144189,17.7231
5205,0.035045,17.6786
5210,-0.018949,17.6631
5215,-0.020948,17.6743
5220,0.038469,17.6246
5225,0.125577,17.5902
5230,0.071657,17.5588
5235,0.099902,17.5078
5240,0.089706,17.4919
5245,0.041871,17.4978
5250,0.046755,17.5277
5255,-0.009525,17.5251
5260,0.03842,17.531
5265,0.009998,17.5211
5270,0.109617,17.5284
5275,0.123885,17.6011
5280,0.093882,17.6767
5285,-0.010263,17.6824
5290,0.093508,17.6543
5295,8.45591E-05,17.6524
5300,-0.03735,17.6268
5305,-0.070114,17.5748
5310,0.035919,17.5964
5315,0.153627,17.6201
5320,0.07454,17.6641
5325,-0.026178,17.655
5330,0.10986,17.5843
5335,0.072943,17.5957
5340,0.077173,17.5163
5345,0.161922,17.4805
5350,0.202677,17.4268
5355,0.195114,17.4204
5360,0.211988,17.4039
5365,0.301109,17.3898
5370,0.271324,17.3203
5375,0.292509,17.2872
5380,0.289214,17.2815
